Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid #,Male Diploid #,Achiasmy Sex,Sex Chromosome System,Notes,Sex Chrom Notes,Citation
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus emiliopugini,NA,chiasmatic,,,28,,,,,"Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus insularis,NA,chiasmatic,,,30,,XY,,,"Cuevas, C.C. and Formas, J.R., 1996. Heteromorphic sex chromosomes inEupsophus insularis (Amphibia: Anura: Leptodactylidae). Chromosome Research, 4(6), pp.467-470."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus migueli,NA,chiasmatic,,,30,,XY,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus roseus,Eupsophus queulensis,chiasmatic,,,30,,XY,,,"Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus roseus,NA,chiasmatic,,,30,,,,,"Barrio, A. and P. Rinaldi de Chieri. 1971. Contribucion al esclarecimiento de la posicion taxofiletica de algunos batracios patagonicos de la familia Leptodactylidae mediante el analisis cariotipico. Physis 30: 673-685."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus roseus,Eupsophus contulmoensis,chiasmatic,,,30,,,,,"Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Eupsophus vertebralis,NA,chiasmatic,3,,42,,,polyploid found in wild population,,"Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Limnomedusa macroglossa,NA,chiasmatic,,,26,,,,,"Barrio, A. 1971. Sobre la coespecificidad de Limnomedusa misionis Schmidt y Limnomedusa macroglossa (Dumeril et Bibron) (Anura, Letodactylidae). Physis 30: 667-672"
Amphibia,Chordata,Amphiba,Anura,Alytidae,Alytes cisternasii,NA,chiasmatic,,,38,,,,,"Olmo, E., A. Morcscalchi, V Stingo & G. Odierna 1982: Genome characteristics and the systematics of the Discoglossidae (Amphibia Salientia). - Monitore Zool. Ital. 16: 283 - 299. "
Amphibia,Chordata,Amphiba,Anura,Alytidae,Alytes muletensis,Baleaphryne muletensis,chiasmatic,,,38,,,,,"Schmid, M., L. Vitelli & R. Batistoni 1987: Chromosome handing in Amphibia. XI. Contitutive heterochromatin, nucleolus organizers, 18S + 28S and 5S ribosomal RNA genes in Ascaphiade, Pipidae. Discoglossidae and Pelobatidae. - Chromosoma 95: 271 - 284."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Alytes obstetricans,NA,chiasmatic,,,38,,,,,"Morescalchi, A. 1966. Cariologia comparata di Alytes obstetricans (Laurent) e dei Discoglossidae europei. Revista Biol. 59: 1-24. (with English text: 25-40)"
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus galganoi galganoi,NA,chiasmatic,,,28,,,,,"Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus jeanneae,Discoglossus galganoi jeanneae,chiasmatic,,,28,,,,,"Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus montalentii,NA,chiasmatic,,,28,,,,,"Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus pictus,NA,chiasmatic,,,28,,ZW,,,"Olmo, E., A. Morcscalchi, V Stingo & G. Odierna 1982: Genome characteristics and the systematics of the Discoglossidae (Amphibia Salientia). - Monitore Zool. Ital. 16: 283 - 299. "
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus pictus auritus,NA,chiasmatic,,,28,,,,,"Amor, N., Aprea, G., Chatti, N., Farjallah, S., Odierna, G. and Said, K., 2007. Karyological analysis of four Tunisian species of Anura (Amphibia). African Zoology, 42(2), pp.268-278."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus pictus pictus,NA,chiasmatic,,,28,,,,,"Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
Amphibia,Chordata,Amphiba,Anura,Alytidae,Discoglossus sardus,NA,chiasmatic,,,28,,,,,"Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates brunneus,Colostethus brunneus,chiasmatic,,,24,,,,,"Veiga-Menoncello, A.C.P., Strassmann, C., Lima, A.P. and Recco-Pimentel, S.M., 2006. Chromosomal study of Colostethus brunneus from the type locality and two related species (Anura Dendrobatidae). Genetica, 126(1-2), pp.179-187."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates caeruleodactylus,Colostethus caeruleodactylus,chiasmatic,,,22,,,,,"Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates chalcopis,Colostethus chalcopis,chiasmatic,,,22,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates femoralis,Epipedobates femoralis,chiasmatic,,,24,,,,,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates marchesianus,Colostethus marchesianus,chiasmatic,,,22,,,,,"Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates nidicola,Colostethus nidicola,chiasmatic,,,22,,,,,"Veiga-Menoncello, A.C.P., Lima, A.P. and Recco-Pimentel, S.M., 2003. Cytogenetics of two central Amazonian species of Colostethus (Anura, Dendrobatidae) with nidicolous tadpoles. Caryologia, 56(3), pp.253-260."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates olfersioides,Colostethus olfersioides,chiasmatic,,,24,,,,,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Allobates talamancae,Colostethus talamancae,chiasmatic,,,24,,,,,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Anomaloglossus stepheni,Colostethus stepheni,chiasmatic,,,24,,,,,"Veiga-Menoncello, A.C.P., Lima, A.P. and Recco-Pimentel, S.M., 2003. Cytogenetics of two central Amazonian species of Colostethus (Anura, Dendrobatidae) with nidicolous tadpoles. Caryologia, 56(3), pp.253-260."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Aromobates leopardalis,Colostethus leopardalis,chiasmatic,,,24,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Mannophryne herminae,NA,chiasmatic,,,24,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Mannophryne neblina,NA,chiasmatic,,,24,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Mannophryne olmonae,NA,chiasmatic,,,24,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Mannophryne trinitatis,NA,chiasmatic,,,24,,,,,"Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Mannophryne trinitatis,Colostethus trinitatis,chiasmatic,,,24,,,,,"Rada de Martinez, D. 1976. Cariotipo de Colostethus trinitatis (Amphibia, Dendrobatidae). Acta Biol. Venezuclica 9: 213-220."
Amphibia,Chordata,Amphiba,Anura,Aromobatidae,Rheobates palmatus,Colostethus palmatus,chiasmatic,,,24,,,,,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Arthroleptis adolfifriederici,NA,chiasmatic,,,14,,,,,"Nussbaum, R. A. 1979. Mitotic chromosomes of Sooglossidae (Amphibia: Anura). Caryologia 32: 279-298."
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Arthroleptis poecilonotus,NA,chiasmatic,,,14,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Arthroleptis sp,NA,chiasmatic,,,14,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Arthroleptis stenodactylus,NA,chiasmatic,,,14,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Astylosternus diadematus,NA,chiasmatic,4,,54,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Cardioglossa gracilis,NA,chiasmatic,,,16,,,,,"Bogart, J. P. and M. Tandy. 1981. Chromosome lineages in African ranoid frogs. Monit. Zool. Ital., N. S. suppl. 15, No. 5: 55-91."
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Cardioglossa leucomystax,NA,chiasmatic,,,18,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis aubryi,NA,chiasmatic,,,22,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis bocagii,Leptopelis bocagei,chiasmatic,,,22,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis boulengeri,NA,chiasmatic,,,22,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis calcaratus,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis concolor,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis gramineus,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis palmatus,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis parkeri,NA,chiasmatic,,,30,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis vermiculatus,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis viridis,Leptopelis hyloides,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Leptopelis viridis,NA,chiasmatic,,,22,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Arthroleptidae,Nyctibates corrugatus,NA,chiasmatic,,,28,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Ascaphidae,Ascaphus truei,NA,chiasmatic,,,46,,,,,"Wickbom, T. 1950 The chromosomes of Ascaphus truei and the evolution of the anuran karyotypes. - Hereditas 36: 406-418."
Amphibia,Chordata,Amphiba,Anura,Ascaphidae,Ascaphus truei,NA,chiasmatic,,,44,,,,,"Morescalchi, A. 1967. Note citotassonimiche su Ascaphus truei Stejn. (Amphibia Salientia). Atti. Soc. Pelorit. Sci. Fis. Mat. Nat. 13: 23-30."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Atelognathus nitoi,NA,chiasmatic,,,26,,,,,"Barrio, A. 1973. Una nueva especie de Telmatobius (Anura, Leptodactylidae) procedente del dominio austral cordillerano argentino. Physis 32: 207-213."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Atelognathus patagonicus,Telmatobius patagonicus,chiasmatic,,,26,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Atelognathus praebasalticus,Telmatobius praebasalticus,chiasmatic,,,26,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Atelognathus reverberii,NA,chiasmatic,,,26,,,,,"Cei, J. M. 1969. La Meseta basaltica de Somuncura, Rio Negro. Herpetofauna endemica y sus peliculiares equilibrios biocenoticos. Physis 28: 257-271."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Batrachyla antartandica,NA,chiasmatic,,,26,,,,,"Cuevas, C.C. and Formas, J.R., 2008. Cytogenetics of Batrachyla species (Anura: Neobatrachia: Ceratophryidae) of southern South America, with phylogenetics comments."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Batrachyla leptopus,NA,chiasmatic,,,26,,,,,"Cuevas, C.C. and Formas, J.R., 2008. Cytogenetics of Batrachyla species (Anura: Neobatrachia: Ceratophryidae) of southern South America, with phylogenetics comments."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Batrachyla nibaldoi,NA,chiasmatic,,,26,,,,,"Cuevas, C.C. and Formas, J.R., 2008. Cytogenetics of Batrachyla species (Anura: Neobatrachia: Ceratophryidae) of southern South America, with phylogenetics comments."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Batrachyla taeniata,NA,chiasmatic,,,26,,,,,"Cuevas, C.C. and Formas, J.R., 2008. Cytogenetics of Batrachyla species (Anura: Neobatrachia: Ceratophryidae) of southern South America, with phylogenetics comments."
Amphibia,Chordata,Amphiba,Anura,Batrachylidae,Hylorina sylvatica,NA,chiasmatic,,,26,,,,,"Barrio, A. and P. Rinaldi de Chieri. 1971. Contribucion al esclarecimiento de la posicion taxofiletica de algunos batracios patagonicos de la familia Leptodactylidae mediante el analisis cariotipico. Physis 30: 673-685."
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina bombina,NA,chiasmatic,,,24,,,,,"Morescalchi, A. 1965 Il corredo cromosomico di Hyla arborea arborea (L.) e di Hyla regilla Baird and Girard: il problema dei cromosomi sessuali e l'evoluzione del cariotipo di Hyla. - Caryologia 18: 193 - 206."
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina maxima,NA,chiasmatic,,,28,,,,,"Shushen, Li, 2007 Cytotaxonomy of amphians in China, Beijing : Ke xue chu ban she"
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina microdeladigitora,Bombina fortinuptialis,chiasmatic,,,28,,,,,"Shushen, Li, 2007 Cytotaxonomy of amphians in China, Beijing : Ke xue chu ban she"
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina orientalis,NA,chiasmatic,,,24,,XY,,,"Ueda, H. 1980: The sex of triploids and gynogenctic diploids in Bombina orientalis. Sci. Rep. Lab.Amphib. Biol. 4: 185 - 200. "
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina pachypus,NA,chiasmatic,,,24,,,,,"Olmo, E., A. Morcscalchi, V Stingo & G. Odierna 1982: Genome characteristics and the systematics of the Discoglossidae (Amphibia Salientia). - Monitore Zool. Ital. 16: 283 - 299. "
Amphibia,Chordata,Amphiba,Anura,Bombinatoridae,Bombina variegata,NA,chiasmatic,,,24,,,,,"Morescalchi, A. 1965 Il corredo cromosomico di Hyla arborea arborea (L.) e di Hyla regilla Baird and Girard: il problema dei cromosomi sessuali e l'evoluzione del cariotipo di Hyla. - Caryologia 18: 193 - 206."
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Brachycephalus ephippium,NA,chiasmatic,,,22,,,,,"Ananias F, Giaretta AA, Recco-Pimentel SM 2006 Cytogenetics of Brachycephalus ephippium (Anura, Brachycephalidae) with comments on its relationship to the Bufonidae. Amphib-Reptil 27:121-125. "
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema guentheri,Eleutherodactylus guentheri,chiasmatic,,,22,,,,,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,12, 27-38."
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema holti,Eleutherodactylus holti,chiasmatic,,,20,,,,,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,12, 27-38."
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema holti,NA,chiasmatic,,,20,,,,,"De Lucca EJ, Jim J, Foresti F 1974 Chromosomal studies in twelve species of Leptodactylidae and one Brachycephalidae. Caryologia 27:183-192"
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema juipoca,Eleutherodactylus juipoca,chiasmatic,,,22,,,,,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,12, 27-38."
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema lactea,Eleutherodactylus lacteus,chiasmatic,,,20,,,,,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,12, 27-38."
Amphibia,Chordata,Amphiba,Anura,Brachycephalidae,Ischnocnema lactea,Ischnocnema lacteus Eleutherodactylus lacteus,chiasmatic,,,20,,,,,"De Lucca, E. J. and J. Jim. 1974. Os cromossomos de alguns Leptodactylidae (Amphibia-Anura). Rev. Brasil. Biol. 34: 407-410."
Amphibia,Chordata,Amphiba,Anura,Brevicipitidae,Breviceps gibbosus,NA,chiasmatic,,,24,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
